Event,I_Injected(pA),Event start ,Event end ,Ramp_start,Ramp_end,filename,state
10.0,115.0,1602.59997558593,1611.0,1080.0,2080.0,S1C4 03062025.xlsx,Pre
10.0,115.0,1654.0,1664.09997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
11.0,125.0,1244.40002441406,1248.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
11.0,125.0,1307.5,1312.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
11.0,125.0,1358.80004882812,1364.0,1080.0,2080.0,S1C4 03062025.xlsx,Pre
11.0,125.0,1403.69995117187,1409.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
11.0,125.0,1449.0,1455.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
11.0,125.0,1495.19995117187,1502.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
11.0,125.0,1543.59997558593,1551.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
11.0,125.0,1593.80004882812,1602.19995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
12.0,135.0,1234.30004882812,1238.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
12.0,135.0,1291.0,1295.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
12.0,135.0,1341.40002441406,1346.69995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
12.0,135.0,1387.69995117187,1393.40002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
12.0,135.0,1436.40002441406,1443.40002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
12.0,135.0,1483.40002441406,1490.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
12.0,135.0,1531.90002441406,1540.69995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
12.0,135.0,1585.5,1594.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
13.0,145.0,1220.19995117187,1224.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
13.0,145.0,1275.09997558593,1279.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
13.0,145.0,1326.09997558593,1331.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
13.0,145.0,1368.40002441406,1374.69995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
13.0,145.0,1414.0,1420.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
