Observation id	Observation date	Description	Observation type	Source	Total duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	licking and grooming	investigation	STATE	129.800	132.850	3.050	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	2596	2657				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	135.650	136.950	1.300	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	2713	2739				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	139.850	141.100	1.250	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	2797	2822				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	141.750	143.600	1.850	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	2835	2872				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	in empty nest	Not defined	STATE	144.250	149.800	5.550	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	2885	2996				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	licking and grooming	investigation	STATE	150.450	154.250	3.800	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	3009	3085				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	157.100	159.200	2.100	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	3142	3184				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	chemoinvestigation	investigation	STATE	160.700	161.199	0.499	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	3214	NA				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	licking and grooming	investigation	STATE	161.200	162.050	0.850	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	3224	3241				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	162.500	163.800	1.300	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	3250	3276				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	in empty nest	Not defined	STATE	164.200	254.000	89.800	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	3284	5080				
