,BrainRegion,Class,Num_cells,id,channel
306,"Medial mammillary nucleus, lateral part",negative,1,BRAC5872.1f,cfos
307,"Medial mammillary nucleus, lateral part",positive,384,BRAC5872.1f,cfos
308,"Medial mammillary nucleus, medial part",negative,1,BRAC5872.1f,cfos
309,"Medial mammillary nucleus, medial part",positive,282,BRAC5872.1f,cfos
310,"Medial mammillary nucleus, median part",negative,2,BRAC5872.1f,cfos
311,"Medial mammillary nucleus, median part",positive,179,BRAC5872.1f,cfos
312,"Medial mammillary nucleus, posterior part",negative,0,BRAC5872.1f,cfos
313,"Medial mammillary nucleus, posterior part",positive,17,BRAC5872.1f,cfos
314,Medial preoptic area,negative,11,BRAC5872.1f,cfos
315,Medial preoptic area,positive,1554,BRAC5872.1f,cfos
316,Medial preoptic nucleus,negative,43,BRAC5872.1f,cfos
317,Medial preoptic nucleus,positive,1971,BRAC5872.1f,cfos
318,Medial pretectal area,negative,0,BRAC5872.1f,cfos
319,Medial pretectal area,positive,75,BRAC5872.1f,cfos
320,Medial septal nucleus,negative,4,BRAC5872.1f,cfos
321,Medial septal nucleus,positive,1671,BRAC5872.1f,cfos
322,Medial terminal nucleus of the accessory optic tract,negative,0,BRAC5872.1f,cfos
323,Medial terminal nucleus of the accessory optic tract,positive,50,BRAC5872.1f,cfos
324,Median eminence,negative,34,BRAC5872.1f,cfos
325,Median eminence,positive,80,BRAC5872.1f,cfos
326,Median preoptic nucleus,negative,0,BRAC5872.1f,cfos
327,Median preoptic nucleus,positive,131,BRAC5872.1f,cfos
328,Mediodorsal nucleus of thalamus,negative,31,BRAC5872.1f,cfos
329,Mediodorsal nucleus of thalamus,positive,5588,BRAC5872.1f,cfos
330,Midbrain,negative,46,BRAC5872.1f,cfos
331,Midbrain,positive,8077,BRAC5872.1f,cfos
332,Midbrain reticular nucleus,negative,2,BRAC5872.1f,cfos
333,Midbrain reticular nucleus,positive,3075,BRAC5872.1f,cfos
334,Nucleus accumbens,negative,144,BRAC5872.1f,cfos
335,Nucleus accumbens,positive,10406,BRAC5872.1f,cfos
336,Nucleus of Darkschewitsch,negative,0,BRAC5872.1f,cfos
